,bidder_type,highest_bid,second_highest_bid
554,early_bidders,2586.527331598714,2518.1689521374647
555,snipers,3678.6185386186144,2842.5331366087457
556,snipers,3005.103391317126,2203.928100765835
557,snipers,3543.1029366869657,2479.2660803095405
558,snipers,3083.152741347307,2990.5715933201063
559,snipers,2360.5343605605435,2085.7664432563415
560,snipers,1749.4583423026945,1736.2315593974195
561,snipers,2009.3602079108134,1784.0177565487024
562,snipers,3654.9190170757493,2954.0629203433646
563,snipers,2495.2289193197435,1888.9025710961903
564,snipers,3098.615555231367,2078.2958620722275
565,snipers,2698.3866789477966,2273.6197750568463
566,snipers,2780.4033310801788,2476.227868351598
567,snipers,3067.3551440678093,2176.8712910817785
568,snipers,2889.1959548825052,1588.3421266369837
569,snipers,2608.122521038829,2509.9559994346446
570,snipers,2463.041545810905,2344.0222107137033
571,snipers,2643.992972961946,2510.261171167401
572,snipers,2355.770562584076,2214.1687129183156
573,snipers,3311.2833750049886,2420.2901072515488
574,snipers,3103.7370868897096,2911.2760629922436
575,snipers,3292.6709391909517,2097.155041971815
576,early_bidders,2025.4068971543456,1637.351592480176
577,snipers,2978.4662408375334,2247.1959454504167
578,early_bidders,1908.1405180871882,1900.5909478473995
579,early_bidders,2212.118498336715,2106.9090941922914
580,early_bidders,2525.0896860510393,2171.910109527718
581,snipers,2936.114242607372,2069.547046311416
582,snipers,2204.653479472272,2123.6173101340482
583,snipers,2497.11331412736,2484.9784787732515
584,snipers,2620.123652794019,2406.3717197039578
585,snipers,2946.749375555736,2569.9991403389313
586,early_bidders,2921.3646605985878,2090.441818272133
587,snipers,2820.300236207575,2715.41201185532
588,snipers,2929.69244992238,2391.568717044469
589,snipers,2643.756078876271,2200.717414243014
